cbo_sum,dit_sum,lcom_sum,repo_name,stars,forks,age_years,releases,loc
394,106,3823,android-gif-drawable,9538,1778,11.652054794520549,0,2920
633,104,1062,dubbo-spring-boot-project,5406,1879,6.682191780821918,0,1908
3716,775,8790,kafka-ui,9518,1157,4.824657534246575,0,18139
5580,1475,175792,EdXposed,5405,625,5.67945205479452,0,71794
867,279,3273,spider-flow,9503,1829,4.493150684931507,0,8748
84,23,2244,AndroidSlidingUpPanel,9496,2264,11.317808219178081,0,2011
997,402,7807,springside4,5721,2911,12.58904109589041,0,12842
6320,1671,101328,Mycat-Server,9493,3852,9.808219178082192,0,92943
3425,910,39636,DependencyCheck,6317,1262,12.057534246575342,0,40990
6933,1920,17299,smali,6295,1066,12.002739726027396,0,46762
486,159,2665,XXPermissions,5712,775,6.273972602739726,0,4797
1311,422,6820,ion,6294,1036,11.345205479452055,0,9443
1644,523,17192,aurora-imui,5707,997,7.780821917808219,0,17789
7128,1691,91364,wiremock,6288,1424,12.961643835616439,0,50126
7541,1343,32463,FastHub,5707,931,7.594520547945206,0,40321
833,191,3165,u2020,5682,932,10.863013698630137,0,4806
2941,690,9386,JFoenix,6286,1056,9.043835616438356,0,24546
1851,719,7917,Fast-Android-Networking,5675,956,8.509589041095891,0,19596
5433,831,763520,vavr,5673,629,10.64931506849315,0,64755
41438,8619,278656,pinot,5404,1265,10.35068493150685,0,442105
5855,1185,17254,AntennaPod,6277,1389,12.153424657534247,0,50616
10572,1598,10020,aws-doc-sdk-examples,9454,5604,8.098630136986301,0,71234
16780,3666,584279,javaparser,5384,1142,12.904109589041095,0,135701
4386,1228,35191,remusic,6277,1930,8.504109589041096,0,47786
1900,428,1390,zfile,9433,1818,5.095890410958904,0,6839
5497,1954,15653,feign,9432,1920,11.246575342465754,0,33861
3214,784,9813,wechat,5377,2421,9.336986301369864,0,34426
1394,314,1917,PocketHub,9391,3461,13.046575342465754,0,6980
1322,334,6049,android-job,5375,557,9.095890410958905,0,10693
176,45,1897,TapTargetView,5368,587,8.035616438356165,0,1960
1382,381,4811,AgentWeb,9234,1636,7.36986301369863,0,11320
3239,889,23584,async-http-client,6272,1588,13.553424657534247,0,28692
72,16,203,SystemBarTint,5363,1434,10.854794520547944,0,807
305,96,1158,gnirehtet,6266,573,7.619178082191781,0,4330
2741,752,57673,quartz,6240,1920,8.547945205479452,0,34646
10611,2484,291251,lettuce,5359,959,10.375342465753425,0,84932
104,49,2019,richeditor-android,6233,1202,9.487671232876712,0,804
463,115,971,spring-boot-projects,5353,1593,7.482191780821918,0,2606
1832,311,20923,jsonschema2pojo,6225,1655,11.257534246575343,0,14399
72757,18792,452492,vespa,5647,590,8.306849315068494,0,619874
10359,3466,39028,cw-omnibus,5349,3782,12.536986301369863,0,71119
256,99,3723,AndroidImageSlider,5631,1660,10.315068493150685,0,3813
1333,382,7409,SwipeRecyclerView,5619,1091,8.139726027397261,0,11090
649,236,1501,XRecyclerView,5339,1262,8.852054794520548,0,5151
13057,2409,44094,flink-cdc,5618,1900,4.156164383561644,0,95824
382,142,317,HTextView,5611,810,8.764383561643836,0,3076
267,75,517,lanproxy,5608,1520,7.843835616438356,0,2668
3950,1050,15255,Discovery,5607,1423,6.257534246575342,0,25899
350,91,1158,ShowcaseView,5602,1288,12.112328767123287,0,2086
147,48,170,FlowLayout,5599,1160,9.076712328767123,0,810
36831,9762,90423,byte-buddy,6222,803,10.830136986301369,0,278499
230,61,28,spring-cloud-examples,6217,3088,7.4082191780821915,0,390
1,2,0,from-java-to-kotlin,6192,789,7.345205479452055,0,37
11460,1806,18562,jetlinks-community,5598,1677,4.726027397260274,0,46304
41,15,24,react-native-splash-screen,5597,1089,8.027397260273972,0,246
72,14,9,Blurry,5584,604,9.172602739726027,0,636
887,282,1433,ListViewAnimations,5567,1649,11.520547945205479,0,5697
1886,577,5362,disconf,5563,2289,10.323287671232876,0,14009
35177,6765,134055,iceberg,6187,2156,5.843835616438356,0,275006
1598,440,4197,datax-web,5563,2143,4.846575342465753,0,13801
1095,411,15236,config,6150,967,12.805479452054794,0,13186
957,240,11088,google-java-format,5562,855,9.372602739726027,0,12966
90,25,1104,SwipeBackLayout,6126,1404,11.084931506849315,0,1635
56133,11120,715199,iotdb,5534,999,5.83013698630137,0,595139
31155,5882,5251599,jOOQ,6109,1200,13.443835616438356,0,209091
147,34,19314,MaterialEditText,6106,1042,9.904109589041095,0,3385
10426,1790,41552,graphql-java,6100,1117,9.221917808219178,0,64936
1900,654,4548,1brc,6100,1834,0.736986301369863,0,53431
33778,6015,216550,hudi,5335,2416,7.7753424657534245,0,244434
2136,380,509,austin,5333,1346,2.8794520547945206,0,6372
440,251,972,socket.io-client-java,5325,972,11.408219178082192,0,5654
4581,1108,378219,JSqlParser,5319,1341,13.257534246575343,0,40221
2609,951,12649,android-advancedrecyclerview,5318,860,9.665753424657535,0,20692
60,13,126,shimmer-android,5315,698,9.572602739726028,0,885
115,26,54,gradle-retrolambda,5300,449,11.139726027397261,0,623
460,136,2737,FastBle,5289,1224,8.087671232876712,0,4713
5046,1265,56501,generator,5276,2517,11.621917808219179,0,72679
12992,2656,77623,janusgraph,5276,1164,7.742465753424658,0,101574
130741,29248,740516,hazelcast,6089,1830,12.515068493150684,0,1070100
19,8,551,NumberProgressBar,6068,1398,10.402739726027397,0,380
660,180,710,grafika,6064,1458,10.764383561643836,0,10035
2615,552,1297,CompreFace,5270,723,4.2164383561643834,0,7766
26284,6117,168093,micronaut-core,6043,1057,6.550684931506849,0,164018
189553,64078,3093923,camel,5517,4935,15.35068493150685,0,1736345
324,98,848,EffectiveAndroidUI,6034,1194,10.227397260273973,0,1923
500,133,7582,VitamioBundle,5270,2071,11.934246575342465,0,6501
42,10,910,android-lifecycle,5264,681,10.435616438356165,0,481
361,89,584,dynamic-load-apk,6025,1997,10.490410958904109,0,2620
3226,642,12642,AmazeFileManager,5255,1567,10.197260273972603,0,31733
1710,496,8480,Android-ZBLibrary,5509,1380,9.095890410958905,0,14727
9348,2183,32686,titan,5247,1013,12.580821917808219,0,71163
207,60,171,StickyListHeaders,5508,1516,12.53972602739726,0,2112
508,182,757,mini-spring,5507,1279,3.8493150684931505,0,2472
70,22,74,Side-Menu.Android,5234,1507,9.698630136986301,0,449
627,233,985,MusicBot,5231,2514,8.10958904109589,0,4097
354,96,332,Dexter,5230,671,8.852054794520548,0,2197
310,93,4416,twoway-view,5230,1021,11.682191780821919,0,3688
218,65,6565,FloatingActionButton,5227,1129,9.515068493150684,0,2805
91207,16826,795026,hbase,5201,3325,10.342465753424657,0,927343
75,27,372,QR-Code-generator,5201,1110,8.443835616438356,0,1823
265,61,1328,linuxdeploy,5196,678,12.095890410958905,0,2693
140473,28522,2024135,hive,5506,4669,15.35068493150685,0,2053999
3344,963,19479,BasePopup,5191,756,8.693150684931506,0,28287
237,103,1809,google-authenticator,5190,968,9.961643835616439,0,3935
3562,1067,6380,mosby,5490,841,9.504109589041096,0,17138
227,65,107,Android-Touch-Helper,5190,502,3.936986301369863,0,2257
17261,6661,2928,spring-data-examples,5174,3394,10.64931506849315,0,50653
6675,1080,14174,hertzbeat,5483,952,2.6301369863013697,0,42317
14549,6016,1080389,groovy,5174,1880,9.443835616438356,0,192694
2210,434,12094,okdownload,5165,772,6.76986301369863,0,18986
5143,1338,6706,hippo4j,5483,1161,3.271232876712329,0,28166
207,118,302,otto,5164,848,12.243835616438357,0,1987
572,164,188,springboot-guide,5155,1400,5.821917808219178,0,1522
505,217,1872,freeline,5481,623,8.139726027397261,0,5357
9776,3368,10299,traccar,5155,2563,12.443835616438356,0,64851
6069,1001,5779,lamp-cloud,5471,1669,6.684931506849315,0,17640
479,112,2815,kafdrop,5462,834,5.328767123287672,0,3924
1853,433,9438,smartTable,5152,857,6.876712328767123,0,14165
385,120,863,barcodescanner,5459,1427,10.580821917808219,0,2796
906,276,20862,thumbnailator,5146,785,9.169863013698631,0,19559
269,42,184,api-samples,5442,2968,10.791780821917808,0,2541
72,32,293,uid-generator,5436,1548,7.495890410958904,0,873
373,115,3039,rebound,5433,818,10.956164383561644,0,4095
2079,692,5402,scribejava,5431,1672,14.054794520547945,0,12671
1248,517,2686,MagicCamera,5431,1616,8.712328767123287,0,14543
1526,374,36624,IJPay,5426,1341,7.397260273972603,0,14045
218,65,6565,FloatingActionButton,4007,820,10.175342465753424,0,2805
7810,1478,86944,Conductor,3896,345,8.523287671232877,0,74444
478,729,668,java,3543,1882,7.3780821917808215,0,10840
